Unnamed: 0,Source,Exercise,Participant,hand,rep_count,start_value_mean,start_value_std,peak_value_mean,peak_value_std,end_value_mean,end_value_std,num_frames_up_mean,num_frames_up_std,num_frames_down_mean,num_frames_down_std,vel_mean_down_mean,vel_mean_down_std,vel_sd_down_mean,vel_sd_down_std,acc_mean_down_mean,acc_mean_down_std,acc_sd_down_mean,acc_sd_down_std,vel_mean_up_mean,vel_mean_up_std,vel_sd_up_mean,vel_sd_up_std,acc_mean_up_mean,acc_mean_up_std,acc_sd_up_mean,acc_sd_up_std,freq num,magnitude mean,magnitude sd,DF3_freq,DF2_freq,DF1_freq,DF3_mag,DF2_mag,DF1_mag,CL,cycles num
0,ODS,bend_elbows,0812202001b.xlsx,left,-0.41295861,-1.872908096,-0.580535217,1.209100967,-0.462428136,-0.708847192,-0.060558302,-1.110663454,-1.452744494,0.376711476,1.20385413,0.131603938,0.24202872,0.504141442,1.193100454,-0.453899333,0.565256957,0.412024068,1.266151796,2.10314894,-2.803119801,1.56668211,-1.581378202,2.429824108,-2.180311794,1.99619374,-2.013274054,0.47306562,-0.804959866,-1.794584475,0.244531334,-1.623450741,1.358056806,-0.359211483,-1.081724749,-1.785463403,-0.344348992,1.713728744
1,ODS,bend_elbows,0812202001b.xlsx,right,-0.41295861,-1.094599747,-0.281867769,0.594486968,-0.32890842,-0.555332092,-0.052161385,-0.253571396,0.76412417,0.064845662,0.408639458,0.049656805,0.122537494,0.462313617,0.208644801,0.307898383,0.395165509,0.497751682,0.004421975,0.799151497,1.52065061,0.888916465,-0.577655471,1.043158175,1.248794151,1.040581518,0.706394554,0.47306562,-0.868875652,-1.775524287,0.244531334,-1.623450741,1.358056806,-0.312207582,-1.003889556,-1.777001102,-0.344348992,1.713728744
2,ODS,bend_elbows,0812202002a.xlsx,left,-0.41295861,-0.179028949,-0.608190388,0.822334239,-0.296097925,0.794859825,-0.146925108,-0.824966101,-0.724701728,1.312308919,-0.785873669,0.932094131,-0.77412014,-1.373314007,-1.007477739,1.326709931,-1.026256363,-1.121847989,-1.027350776,1.077688245,-0.162315356,0.621148734,-0.557352647,0.951607658,-0.784527008,0.88712414,-0.880429124,-0.862402812,0.384252363,0.48253955,0.345804877,2.125100994,0.114495856,-0.199508941,-0.663923056,0.66746478,-0.207357027,-0.511560819
3,ODS,bend_elbows,0812202002a.xlsx,right,-0.41295861,-0.670613639,-0.646895833,0.778944299,-0.341636257,-0.392587513,-0.648838981,-0.856710251,-1.101310394,1.804097318,-1.127009963,1.029702898,-0.880436351,-0.964794443,-1.340348476,1.725235566,-1.436317924,-0.529043836,-1.150736218,1.084088383,-1.179238683,1.151451099,-0.241595125,0.79440465,-1.197954589,1.206427531,-1.051882677,-0.862402812,0.598903316,0.511381918,0.345804877,2.125100994,0.114495856,-0.730372637,-0.24891956,0.506009968,-0.207357027,-0.511560819
4,ODS,bend_elbows,0812202002b.xlsx,left,-0.41295861,0.491440419,0.101243738,-0.852905125,-0.008269723,0.370126032,-0.55625013,0.730497262,0.938342121,0.628603096,-0.608582198,0.803346011,-0.636482488,-1.536501252,-0.028755609,1.002875886,-0.347698572,-1.772060828,0.294896177,-0.994001292,0.970862467,-0.782313752,0.929881947,-0.568209307,-0.03677387,-0.92329913,1.339547069,-0.983809033,0.22695937,0.028224809,1.76723288,-0.012941835,0.846834194,-0.628870443,0.045314242,-0.186246259,-0.296964362,-0.140679225
5,ODS,bend_elbows,0812202002b.xlsx,right,-0.41295861,-1.255426245,-0.604090804,0.635354138,-0.33074827,-0.095411635,-0.483361824,-0.888454402,-0.852556507,0.736556647,-1.211870035,0.750151154,-0.797762568,0.358790283,-0.953155827,-0.121867163,-0.374029027,0.463305704,-1.407296966,1.168497034,-0.763551384,0.799228737,-0.588199274,1.829451353,0.163679954,0.319513713,-0.358450239,-0.983809033,1.06781318,0.420172408,1.76723288,-0.012941835,0.846834194,-0.023968157,0.312605336,-0.209478502,-0.296964362,-0.140679225
6,ODS,bend_elbows,1212202001b.xlsx,left,0.04764907,1.198442943,-0.197595947,0.479849273,-0.302020017,0.421412337,-0.544030912,-0.499588561,-0.373120863,-1.220101466,0.669991344,-1.230568053,0.783989464,1.423827352,0.42645482,-1.002841924,0.897039258,1.715356928,0.51916435,0.255641461,0.087114233,0.493465995,-0.996524839,0.457885798,0.059304628,0.3159886,-0.509116851,0.099508017,0.170859019,-0.063634292,0.074898271,0.290325631,0.096770059,-0.109315984,-0.615147143,0.125948582,-0.204767478,0.230202369
7,ODS,bend_elbows,1212202001b.xlsx,right,0.04764907,2.071660415,0.075748397,0.585587039,-0.475703066,1.339709413,-0.195072847,0.63923283,0.914141995,-0.947218879,1.033868701,-0.933741379,1.121697093,0.961242187,0.745581632,-0.776591817,1.320943295,1.231547307,0.605671243,-0.868327797,0.742328232,-0.621027766,-0.345443402,-0.766742554,-0.565621227,-0.896878919,0.546063415,0.099508017,-0.139840181,-0.331198811,0.074898271,0.290325631,0.096770059,-0.156075638,-0.81862048,-0.057193407,-0.204767478,0.230202369
8,ODS,bend_elbows,1312202001a.xlsx,left,-0.41295861,-0.194640624,-0.858883943,0.45861857,-0.552324318,-1.322961623,-0.852823939,1.524101019,0.217337994,0.628603096,-0.707459539,0.567156888,-0.674925599,0.306132058,-1.054628699,0.059792644,-0.28910013,0.277540432,-1.21779808,-1.78354941,-2.098239793,-1.397608798,-1.48514658,-1.815372864,-2.625747149,-1.851209808,-2.24511215,-0.040576085,-0.02934111,0.090419939,-1.420302065,-0.227255451,-0.659850367,-0.184302237,1.302342882,0.044633204,-0.066717713,-0.511560819
9,ODS,bend_elbows,1312202001a.xlsx,right,-0.41295861,-0.442992451,-0.80075813,-0.076165554,-0.349728987,-1.220290169,-0.843888773,1.111427066,0.41653037,0.868499876,-0.541851968,0.712557907,-0.666029569,-0.074034281,-1.071430467,0.63410041,-0.420826683,0.036697585,-1.083347261,-1.510824068,-1.591641751,-0.218183582,-0.575509066,-1.889348818,-2.677144466,-1.047190187,-1.324585237,-0.040576085,-0.04474254,-0.062578181,-1.420302065,-0.227255451,-0.659850367,-0.426420634,1.205314342,-0.094213261,-0.066717713,-0.511560819
