Source,Exercise,Participant,label,hand,rep_count,start_value_mean,start_value_std,peak_value_mean,peak_value_std,end_value_mean,end_value_std,num_frames_up_mean,num_frames_up_std,num_frames_down_mean,num_frames_down_std,vel_mean_down_mean,vel_mean_down_std,vel_sd_down_mean,vel_sd_down_std,acc_mean_down_mean,acc_mean_down_std,acc_sd_down_mean,acc_sd_down_std,vel_mean_up_mean,vel_mean_up_std,vel_sd_up_mean,vel_sd_up_std,acc_mean_up_mean,acc_mean_up_std,acc_sd_up_mean,acc_sd_up_std,freq num,magnitude mean,magnitude sd,DF3_freq,DF2_freq,DF1_freq,DF3_mag,DF2_mag,DF1_mag,CL,cycles num
maya,raise_arms_horizontally,0812202001a.xlsx,0,left,7,45.62443075,1.70692938,132.2471813,1.486438677,46.57193906,0.411712878,39.42857143,5.380741673,73.57142857,18.6177079,-36.7910908,8.894318374,49.95963939,3.806246214,-0.261786648,1.800287276,313.6641329,42.50559467,66.84794868,8.927019879,48.99039647,8.476952947,-4.529947238,9.118638464,512.1400392,80.8959458,470,0.480316456,2.356890025,0.191082803,0.25477707,0.222929936,15.11472761,30.25734263,31.60187249,134.5714286,7
maya,raise_arms_horizontally,0812202001a.xlsx,0,right,7,41.14296503,0.922795647,136.9787409,1.570593698,40.18179061,0.63179255,36.28571429,4.990467103,50.57142857,17.77504939,-61.59352735,14.5726895,67.00567962,5.051631087,-19.6056803,15.65648557,465.0055245,81.6055807,80.58498519,12.03885475,56.49971579,8.195108555,-5.115975405,7.541279472,645.5709823,95.09052204,470,0.522952452,2.649212625,0.191082803,0.25477707,0.222929936,16.9048293,33.78026866,35.82565032,134.5714286,7
maya,raise_arms_horizontally,0812202001b.xlsx,0,left,7,45.05256514,1.25630509,132.924534,3.663587442,46.2353992,0.815954118,31.57142857,15.12015369,74.57142857,17.85923797,-36.54801579,8.46810481,68.36192905,27.1528448,17.05547742,27.59790029,967.1629847,1124.976679,95.76519171,35.16883446,64.7819342,8.136227519,83.16998684,145.7173885,927.0465381,258.6973432,449,0.590096364,2.570836112,0.3,0.233333333,0.266666667,13.44890811,24.66135314,36.70837104,112.5,8
maya,raise_arms_horizontally,0812202001b.xlsx,0,right,7,40.86214258,1.151020985,141.034525,1.949747503,39.91981564,0.773651804,32,3.915780041,52.14285714,8.375133261,-59.3001904,9.743782687,71.64505693,4.316236352,-9.741983277,14.97918713,466.3480937,51.67109795,94.92651546,11.33347166,63.79434542,12.31030431,0.745729519,21.28413735,711.8439024,178.6790068,449,0.622619934,2.890170167,0.3,0.233333333,0.266666667,15.77408703,27.08105459,41.56614079,112.5,8
maya,raise_arms_horizontally,0812202002a.xlsx,0,left,7,46.36988903,2.266066692,144.9785789,6.93980608,47.50053174,2.825182458,42.42857143,10.42204623,47.42857143,8.922950612,-63.51697701,13.60104771,34.31000743,9.612368571,-27.09060891,18.6485711,385.1491975,40.31331148,73.92280235,20.53102215,50.333124,5.593021915,6.772554891,33.88596302,580.3005379,131.0318551,414,0.389956364,2.71886788,0.180505415,0.216606498,0.252707581,5.718504532,8.347651998,53.20479601,118.7142857,7
maya,raise_arms_horizontally,0812202002a.xlsx,0,right,7,43.6295527,1.263621691,132.4091282,21.87335187,43.31887403,1.147136255,42.42857143,21.0938944,63.57142857,14.98729621,-45.54351925,17.89471383,51.05413203,9.341044045,-7.132570603,5.66846576,587.028827,57.94816954,72.84555865,24.45109286,63.56639672,6.466424432,25.13690569,49.0461152,750.6543903,105.7416221,414,0.443613707,2.722507541,0.180505415,0.216606498,0.252707581,5.776673553,9.231891597,53.36133725,118.7142857,7
maya,raise_arms_horizontally,1212202001a.xlsx,1,left,7,53.1645849,10.01774497,143.2934789,5.785244304,58.03558477,13.66428988,24.85714286,10.36707242,32.71428571,21.62340002,-152.5729406,148.3012866,158.0793439,88.25416585,-716.2552534,1387.084607,3370.788761,2813.425225,118.0198589,33.83580135,84.5366168,35.7425756,28.4360586,116.8586213,1703.436032,759.3745201,240,1.03676167,3.373477396,0.31120332,0.373443983,0.435684647,22.80171186,23.24859592,27.64509644,68.85714286,7
maya,raise_arms_horizontally,1212202001a.xlsx,1,right,7,51.42645487,14.4209617,144.1470759,8.564934765,51.05994181,18.6938199,24.71428571,7.60951785,38.28571429,13.87701079,-84.61130052,48.65594084,129.4785461,71.46459634,-72.50187895,157.4635593,2279.053615,1687.134928,116.7167212,28.12452277,98.91821139,39.40389447,-44.32999329,102.6695952,1929.801301,909.53641,240,1.103630468,3.55022415,0.31120332,0.373443983,0.435684647,24.32278908,26.13364932,27.55118672,68.85714286,7
maya,raise_arms_horizontally,1212202001b.xlsx,1,left,8,44.40421533,12.92597371,144.4626492,2.184397841,42.32083794,8.387190766,26.625,9.288049157,47.375,13.15769737,-74.15349081,42.62582549,86.38272265,48.70797522,35.84694851,237.4285563,825.6444581,776.9052747,121.9150311,37.80628063,119.5271591,71.18116102,-97.01250076,219.1960409,2132.356761,1634.290016,322,0.892142059,3.082303139,0.278637771,0.325077399,0.371517028,22.65590037,23.8670019,24.84507644,80.75,8
maya,raise_arms_horizontally,1212202001b.xlsx,1,right,8,44.15125853,9.319025665,143.6470646,3.410212664,42.41252418,0.932417932,28.25,8.031189202,46.5,12.71669319,-74.03253872,40.58157265,75.98149077,29.39773758,3.636924303,98.3364192,688.7031479,564.4973231,110.8815738,25.52084524,127.9259146,65.3834103,-101.0709303,99.11755286,2363.474472,1520.609603,322,0.896012135,2.943391479,0.325077399,0.278637771,0.371517028,21.69316892,21.86060899,24.58200011,80.75,8
