Source,Exercise,Participant,hand,label,Unnamed: 0,Unnamed: 0.1,rep_count,start_value_mean,start_value_std,peak_value_mean,peak_value_std,end_value_mean,end_value_std,num_frames_up_mean,num_frames_up_std,num_frames_down_mean,num_frames_down_std,vel_mean_down_mean,vel_mean_down_std,vel_sd_down_mean,vel_sd_down_std,acc_mean_down_mean,acc_mean_down_std,acc_sd_down_mean,acc_sd_down_std,vel_mean_up_mean,vel_mean_up_std,vel_sd_up_mean,vel_sd_up_std,acc_mean_up_mean,acc_mean_up_std,acc_sd_up_mean,acc_sd_up_std,freq num,magnitude mean,magnitude sd,DF3_freq,DF2_freq,DF1_freq,DF3_mag,DF2_mag,DF1_mag,CL,cycles num
maya,raise_arms_horizontally,0812202001a.xlsx,left,0,0,0,-0.533160374,6.540922731,-0.196792478,1.229714249,-0.864798625,8.897026531,-0.576128017,0.552767854,-0.633487299,3.286800564,1.590436948,1.151619198,-0.638667396,-0.226179859,-0.702829311,0.394088488,-0.274438367,-0.584267011,-0.665449442,-0.420301937,-0.467292239,-0.380083099,-0.394064757,-0.236258575,-0.176744518,-0.264981958,-0.31700257,1.268394826,-1.062094061,-0.235004035,-0.951337793,-0.489763106,-0.66209308,-0.117192309,0.844850917,0.059599889,-0.119240358,-0.354524945
maya,raise_arms_horizontally,0812202001a.xlsx,right,0,1,1,-0.533160374,5.445815588,-0.448429005,1.461322488,-0.859377517,6.878052056,-0.511974999,0.184432618,-0.728537355,0.726083197,1.435045336,0.141869539,-0.342130311,0.307988984,-0.6452493,0.10495774,-0.183456502,-0.220715827,-0.525646475,-0.092484409,-0.390055691,-0.125001363,-0.404678692,-0.239253588,-0.181088781,-0.049217861,-0.296238019,1.268394826,-0.81673098,0.287086194,-0.951337793,-0.489763106,-0.66209308,0.245232408,1.370761321,0.656159068,-0.119240358,-0.354524945
maya,raise_arms_horizontally,0812202001b.xlsx,left,0,2,2,-0.533160374,6.401179586,-0.341402417,1.262870433,-0.724550791,8.790696388,-0.458292074,-0.368070236,1.738513659,3.398136102,1.450570248,1.161515198,-0.66092521,0.35048954,0.376593947,0.652927459,-0.105047392,0.985563154,3.204952685,0.269772602,0.184036406,0.156334742,-0.406896083,0.211949295,0.199467141,0.405941323,-0.056905605,0.664739498,-0.430328911,0.147105189,0.048085096,-0.755196296,-0.093791674,-0.454454804,0.009468888,0.780833036,-0.234541219,0.081813449
maya,raise_arms_horizontally,0812202001b.xlsx,right,0,3,3,-0.533160374,5.377192799,-0.375189162,1.659851748,-0.834953141,6.795280775,-0.470623159,-0.317842703,-0.990273765,0.901039042,-0.298359239,0.235235213,-0.594306493,0.453372356,-0.679250064,0.25238918,-0.187903745,-0.217490717,-0.632677958,0.249758622,-0.407563482,0.122787646,-0.249705173,-0.209296185,-0.143239068,0.057948561,-0.173960515,0.664739498,-0.243161162,0.717438067,0.048085096,-0.755196296,-0.093791674,0.016301868,0.370687419,1.466936152,-0.234541219,0.081813449
maya,raise_arms_horizontally,0812202002a.xlsx,left,0,4,4,-0.533160374,6.723085608,-0.017359602,1.852911847,-0.513502939,9.190416416,0.127396102,0.904360579,0.594305428,0.376171507,-0.19733822,0.06356261,-0.392871592,-0.716589696,-0.434384917,-0.006918548,-0.163810022,-0.412546112,-0.673288005,-0.251469231,-0.179277893,-0.334472404,-0.502670269,-0.178494901,-0.108531915,-0.154763232,-0.243661202,-0.341352715,-1.582101399,0.411490973,-1.048395772,-0.962243102,-0.275171668,-2.01955546,-2.425877495,3.110759968,-0.20207787,-0.354524945
maya,raise_arms_horizontally,0812202002a.xlsx,right,0,5,5,-0.533160374,6.05344713,-0.339054445,1.237641492,0.448488034,7.869217035,-0.361752792,0.904360579,3.193398068,2.173445187,0.920965843,0.79529285,-0.168646862,-0.191881931,-0.446929528,0.291391744,-0.24903933,0.072407659,-0.610234134,-0.277176331,-0.081980721,0.115044527,-0.469778939,-0.084640252,-0.066778781,0.120706942,-0.280657046,-0.341352715,-1.273312293,0.417991432,-1.048395772,-0.962243102,-0.275171668,-2.007778537,-2.293876199,3.132869586,-0.20207787,-0.354524945
maya,raise_arms_horizontally,1212202001a.xlsx,left,1,6,6,-0.533160374,8.383462025,2.470233155,1.770426776,-0.58787764,12.51897808,3.286985749,-1.154968239,0.580916741,-1.262051405,2.144705773,-3.562058152,6.64147246,3.161948805,3.201595917,-10.30777593,8.821545094,6.759535423,9.242042205,0.800852941,0.150950178,0.82737542,0.632727095,-0.067779278,0.119986145,1.66139957,0.675510541,-5.343068291,2.140155811,1.580628195,0.150886621,0.979110426,2.102375145,1.439117652,-0.201430721,-0.499248413,-0.462530946,-0.354524945
maya,raise_arms_horizontally,1212202001a.xlsx,right,1,7,7,-0.533160374,7.958726295,3.883270389,1.812210055,-0.408815201,10.31501597,4.753089034,-1.17171075,-0.090676376,-0.641753409,0.716222121,-0.795223419,1.43777237,2.265690501,2.425335009,-0.685675097,0.747669895,4.136977237,5.214963404,0.769755158,0.009194762,1.315899341,0.770608134,-0.439664587,0.080907625,2.027442834,0.895175023,-5.343068291,2.52497465,1.896299145,0.150886621,0.979110426,2.102375145,1.747075566,0.229256607,-0.512512062,-0.462530946,-0.354524945
maya,raise_arms_horizontally,1212202001b.xlsx,left,1,8,8,0.113094625,6.242746487,3.40351347,1.827657265,-0.819837407,7.553886427,1.748716307,-0.947779669,0.318124264,0.370207103,0.58357613,-0.369468079,1.122866425,0.915204063,1.37318919,0.933801217,1.272731993,0.645608384,1.960414772,0.893806448,0.249498504,2.015958284,1.967303284,-0.708908968,0.40183741,2.354984519,1.955381613,-2.985937962,1.307893949,1.060588912,-0.14793446,0.380422948,1.268601152,1.409596599,-0.10911367,-0.894718463,-0.400402813,0.081813449
maya,raise_arms_horizontally,1212202001b.xlsx,right,1,9,9,0.113094625,6.180933049,2.24600699,1.787734674,-0.740872718,7.582854794,-0.424342982,-0.75733361,0.01202026,0.272788508,0.502252143,-0.364543912,1.016111025,0.589262441,0.480385917,0.452362031,0.359432274,0.316648969,1.200944889,0.630506521,-0.05542919,2.301253002,1.748966689,-0.729650375,0.071124814,2.728712705,1.789084099,-2.985937962,1.330165593,0.812491706,0.27819501,-0.19441244,1.268601152,1.214681596,-0.408632564,-0.931874914,-0.400402813,0.081813449
