Source,Exercise,Participant,label,hand,rep_count,start_value_mean,start_value_std,peak_value_mean,peak_value_std,end_value_mean,end_value_std,num_frames_up_mean,num_frames_up_std,num_frames_down_mean,num_frames_down_std,vel_mean_down_mean,vel_mean_down_std,vel_sd_down_mean,vel_sd_down_std,acc_mean_down_mean,acc_mean_down_std,acc_sd_down_mean,acc_sd_down_std,vel_mean_up_mean,vel_mean_up_std,vel_sd_up_mean,vel_sd_up_std,acc_mean_up_mean,acc_mean_up_std,acc_sd_up_mean,acc_sd_up_std,freq num,magnitude mean,magnitude sd,DF3_freq,DF2_freq,DF1_freq,DF3_mag,DF2_mag,DF1_mag,CL,cycles num
maya_raw_scaled,raise_arms_horizontally,0812202001a.xlsx,0,left,7,0.173604786,0.018965882,1.136079792,0.016515985,0.184132656,0.004574588,39.42857143,5.380741673,73.57142857,18.6177079,-0.408789898,0.09882576,0.555107104,0.042291625,-0.002908741,0.020003192,3.485157032,0.472284385,0.742754985,0.09918911,0.544337739,0.094188366,-0.050332747,0.101318205,5.69044488,0.898843842,470,0.00533685,0.026187667,0.191082803,0.25477707,0.222929936,0.167941418,0.336192696,0.351131917,134.5714286,7
maya_raw_scaled,raise_arms_horizontally,0812202001a.xlsx,0,right,7,0.123810723,0.010253285,1.188652677,0.017451041,0.113131007,0.007019917,36.28571429,4.990467103,50.57142857,17.77504939,-0.684372526,0.161918772,0.744507551,0.056129234,-0.217840892,0.173960951,5.16672805,0.906728674,0.895388724,0.133765053,0.62777462,0.091056762,-0.056844171,0.083791994,7.173010914,1.056561356,470,0.005810583,0.029435696,0.191082803,0.25477707,0.222929936,0.187831437,0.375336318,0.398062781,134.5714286,7
maya_raw_scaled,raise_arms_horizontally,0812202001b.xlsx,0,left,7,0.167250724,0.013958945,1.143605933,0.040706527,0.180393324,0.009066157,31.57142857,15.12015369,74.57142857,17.85923797,-0.406089064,0.094090053,0.759576989,0.301698276,0.189505305,0.306643337,10.74625539,12.49974088,1.064057686,0.390764827,0.719799269,0.090402528,0.924110965,1.619082095,10.30051709,2.874414924,449,0.006556626,0.028564846,0.3,0.233333333,0.266666667,0.149432312,0.274015035,0.407870789,112.5,8
maya_raw_scaled,raise_arms_horizontally,0812202001b.xlsx,0,right,7,0.120690473,0.012789122,1.233716945,0.021663861,0.110220174,0.008596131,32,3.915780041,52.14285714,8.375133261,-0.658891004,0.108264252,0.796056188,0.047958182,-0.108244259,0.166435413,5.181645486,0.574123311,1.054739061,0.125927463,0.70882606,0.136781159,0.008285884,0.236490415,7.909376693,1.985322298,449,0.006917999,0.032113002,0.3,0.233333333,0.266666667,0.175267634,0.300900607,0.461846009,112.5,8
maya_raw_scaled,raise_arms_horizontally,0812202002a.xlsx,0,left,7,0.181887656,0.025178519,1.277539766,0.077108956,0.194450353,0.031390916,42.42857143,10.42204623,47.42857143,8.922950612,-0.705744189,0.151122752,0.381222305,0.106804095,-0.301006766,0.207206346,4.279435527,0.447925683,0.821364471,0.228122468,0.559256933,0.062144688,0.07525061,0.3765107,6.447783755,1.455909501,414,0.004332848,0.030209643,0.180505415,0.216606498,0.252707581,0.063538939,0.092751689,0.5911644,118.7142857,7
maya_raw_scaled,raise_arms_horizontally,0812202002a.xlsx,0,right,7,0.151439474,0.014040241,1.137879202,0.243037243,0.147987489,0.012745958,42.42857143,21.0938944,63.57142857,14.98729621,-0.506039103,0.198830154,0.567268134,0.103789378,-0.079250784,0.062982953,6.522542522,0.64386855,0.809395096,0.27167881,0.706293297,0.07184916,0.279298952,0.544956836,8.340604336,1.174906912,414,0.004929041,0.030250084,0.180505415,0.216606498,0.252707581,0.064185262,0.102576573,0.592903747,118.7142857,7
maya_raw_scaled,raise_arms_horizontally,1212202001a.xlsx,1,left,7,0.257384277,0.111308277,1.258816433,0.064280492,0.311506497,0.151825443,24.85714286,10.36707242,32.71428571,21.62340002,-1.695254895,1.647792073,1.756437155,0.980601843,-7.958391705,15.41205119,37.45320845,31.26028028,1.311331766,0.375953348,0.939295742,0.397139729,0.315956207,1.298429125,18.92706702,8.437494668,240,0.011519574,0.037483082,0.31120332,0.373443983,0.435684647,0.253352354,0.258317732,0.307167738,68.85714286,7
maya_raw_scaled,raise_arms_horizontally,1212202001a.xlsx,1,right,7,0.238071721,0.160232908,1.268300843,0.095165942,0.233999353,0.20770911,24.71428571,7.60951785,38.28571429,13.87701079,-0.940125561,0.540621565,1.438650512,0.79405107,-0.805576433,1.749595103,25.32281795,18.74594365,1.296852458,0.312494697,1.099091238,0.43782105,-0.492555481,1.14077328,21.44223668,10.10596011,240,0.012262561,0.039446935,0.31120332,0.373443983,0.435684647,0.270253212,0.290373881,0.306124297,68.85714286,7
maya_raw_scaled,raise_arms_horizontally,1212202001b.xlsx,1,left,8,0.160046837,0.14362193,1.271807214,0.024271087,0.136898199,0.093191009,26.625,9.288049157,47.375,13.15769737,-0.823927676,0.473620283,0.959808029,0.541199725,0.398299428,2.63809507,9.173827313,8.63228083,1.354611457,0.420069785,1.328079545,0.790901789,-1.077916675,2.435511565,23.6928529,18.15877795,322,0.00991269,0.034247813,0.278637771,0.325077399,0.371517028,0.251732226,0.26518891,0.276056405,80.75,8
maya_raw_scaled,raise_arms_horizontally,1212202001b.xlsx,1,right,8,0.157236206,0.10354473,1.262745162,0.037891252,0.137916935,0.010360199,28.25,8.031189202,46.5,12.71669319,-0.822583764,0.450906363,0.844238786,0.326641529,0.04041027,1.09262688,7.652257199,6.272192479,1.232017487,0.283564947,1.421399051,0.726482337,-1.123010337,1.101306143,26.26082747,16.89566226,322,0.00995569,0.03270435,0.325077399,0.278637771,0.371517028,0.24103521,0.242895655,0.273133335,80.75,8
maya_raw_scaled,raise_arms_horizontally,1312202001a.xlsx,0,left,7,0.176657508,0.007205384,1.172918911,0.010139539,0.178987809,0.006938163,36.71428571,8.67398958,50.71428571,7.973169293,-0.601378575,0.10494531,0.732764008,0.044777986,-0.057295058,0.032368396,4.408309927,0.62298056,0.847102054,0.16901227,0.692199411,0.056591192,-0.119113065,0.115888849,6.278058153,1.24351942,475,0.005359982,0.027973805,0.18907563,0.220588235,0.25210084,0.130979094,0.225454278,0.486559959,119,8
