,Participant,hand,rep_count,start_value_mean,start_value_std,peak_value_mean,peak_value_std,end_value_mean,end_value_std,num_frames_up_mean,num_frames_up_std,num_frames_down_mean,num_frames_down_std,vel_mean_down_mean,vel_mean_down_std,vel_sd_down_mean,vel_sd_down_std,acc_mean_down_mean,acc_mean_down_std,acc_sd_down_mean,acc_sd_down_std,vel_mean_up_mean,vel_mean_up_std,vel_sd_up_mean,vel_sd_up_std,acc_mean_up_mean,acc_mean_up_std,acc_sd_up_mean,acc_sd_up_std,freq num,magnitude mean,magnitude sd,DF3_freq,DF2_freq,DF1_freq,DF3_mag,DF2_mag,DF1_mag,CL,cycles num
0,1212202001a.xlsx,left,9,62.04502326,26.52909397,165.0185761,19.99784839,55.90333031,28.79746692,20.33333333,12.9614814,91.44444444,34.91815828,-35.55256396,6.041198906,59.62501799,22.09556109,-12.90793738,10.27349119,530.4021299,258.7719146,186.4830719,83.55637144,162.183757,91.85734507,-28.49655135,268.9229576,2779.467235,1786.725538,865,0.509519411,2.674968879,0.034642032,0.017321016,0.173210162,24.63416023,28.98841534,53.38424736,173.2,10
1,1212202001a.xlsx,right,9,94.97838994,19.17644137,171.1479962,13.34520065,93.4021034,18.88905269,24.33333333,5.361902647,91.22222222,36.83672684,-32.38683023,21.07083475,48.2051888,8.572294809,-91.82824457,243.729621,532.4100426,255.2339639,96.27913196,23.84271612,89.68895233,25.44931911,-16.94892032,69.73745608,1254.216387,542.4647804,865,0.347814945,1.860546112,0.034642032,0.017321016,0.173210162,17.74016494,22.64519637,35.49136544,173.2,10
2,1312202001a.xlsx,left,11,75.00160548,21.53536975,167.4599392,23.02532932,69.28451028,20.44205461,22.45454545,9.56413756,78.09090909,34.14221594,-53.66111652,73.2336875,91.15291255,56.9108385,-20.11961141,23.58398793,922.7519282,1296.9364,122.7737469,62.92624947,136.6806996,76.61054256,-24.46196209,85.69613699,2056.152729,1342.748308,915,0.421473199,2.153951989,0.360262009,0.163755459,0.180131004,13.39002021,26.1609061,48.90900003,166.5454545,11
3,1312202001a.xlsx,right,10,72.62836951,15.46810743,177.1306145,3.858125811,67.42619632,13.64435141,29.5,8.947377021,85.6,27.96505756,-58.50879509,74.01024701,89.29225107,36.03572073,-30.22730607,53.17450191,797.723801,823.5390005,111.2274701,27.22113973,129.9438532,53.25532185,-3.418030206,87.18574933,1871.952647,932.4179711,915,0.416751048,2.100548383,0.016375546,0.163755459,0.180131004,13.41038132,22.67687782,47.13069721,166.5454545,11
4,1312202001a.xlsx2,left,9,70.47798094,12.3079082,178.6641963,1.514498115,78.47974049,19.3345665,27.11111111,3.48010217,94.77777778,19.7723151,-32.39849163,7.149009739,62.31731193,23.38059918,-10.90900318,18.69789071,441.4721964,246.6709059,120.7539889,18.7903518,147.7763269,29.6965225,-19.75218261,29.52128955,2061.202269,604.6287561,903,0.424016597,2.146199006,0.016583748,0.165837479,0.182421227,16.87797892,33.13011664,38.83464682,164.4545455,11
5,1312202001a.xlsx2,right,9,76.67377254,12.71182672,179.0995374,0.714074283,75.80625098,13.88151892,28.44444444,9.056918779,92.33333333,18.5876303,-34.49095119,6.569231878,60.80250604,14.10765396,-5.232403233,3.770851517,412.6228587,153.9232357,115.4209349,30.80082299,139.5331826,37.21016517,-3.43485789,23.09923899,1932.447468,773.5427514,903,0.388651001,2.029795961,0.016583748,0.165837479,0.182421227,13.7582156,30.85383799,39.26588891,164.4545455,11
6,1312202001b.xlsx,left,11,67.22500619,26.557848,171.6624318,23.31966983,67.23473141,24.36024954,29,13.07669683,83.90909091,37.56182782,-41.84844758,34.38181343,81.75153237,38.43563797,-95.15355833,199.1855932,531.6877157,221.4751163,108.4587021,49.41242631,148.1655435,83.58849865,-43.04708204,55.94212635,2143.66908,1470.564572,848,0.535683862,2.208371795,0.053003534,0.19434629,0.176678445,15.22606077,30.49090316,34.09290195,169.8,10
7,1312202001b.xlsx,right,10,62.34777596,24.49864388,175.7520506,3.67710641,65.03400177,19.56876465,22,8.894442709,99,26.64582519,-36.44774155,14.16453943,93.63188658,25.4161641,-40.22608818,33.77311578,678.6874547,276.1202933,187.7569534,99.35285841,193.8198725,94.73522609,62.18265535,382.831777,3148.6354,2230.499664,848,0.545420355,2.199354183,0.035335689,0.19434629,0.176678445,15.64565827,31.62352344,32.45019289,169.8,10
8,1312202001b.xlsx2,left,9,63.34895467,15.75843658,178.3498341,0.822827234,60.72834635,5.884659755,25.88888889,5.510091752,101.1111111,23.22414931,-35.63671245,6.01732967,89.18228443,8.326733632,-43.6090233,28.26293928,634.5358473,189.7727938,137.5288499,31.2575762,176.9514724,74.84036136,-51.82792192,121.3752577,2763.444197,1558.795339,748,0.633067887,2.252567856,0.160213618,0.18024032,0.200267023,22.68029819,25.00004631,30.0379427,149.8,10
9,1312202001b.xlsx2,right,9,56.74941416,16.38792495,177.0474715,1.450979398,51.47176218,5.481040499,22,4.153311931,100.1111111,22.69055114,-38.25034781,6.05735095,107.1569006,16.49887093,-55.61614087,39.49383267,810.527321,254.5655333,167.7850764,37.49794003,205.2622004,91.35984339,-56.13513288,107.3910416,3154.053489,2106.772428,748,0.684972244,2.4397331,0.160213618,0.18024032,0.200267023,24.17506534,26.74026286,33.55070372,149.8,10
10,1502202101a.xlsx,left,11,52.08261197,15.64084985,176.8857343,2.586127301,47.6246645,9.95105386,34.81818182,11.74579228,77.18181818,30.4526458,-62.47676315,42.07777481,105.3393323,19.70355366,-51.50193714,65.33158353,843.5927634,279.3207924,119.4731414,42.70065548,138.9425212,45.94711405,-55.87054806,122.2991616,1814.846246,866.3951515,886,0.591770626,2.513015835,0.338218715,0.186020293,0.169109357,21.80773654,33.29631725,34.47470182,177.4,10
11,1502202101a.xlsx,right,11,69.79742795,25.73195972,167.2930846,10.10123807,60.31617039,23.03848244,27.36363636,13.66215742,88.18181818,34.37097084,-41.54545877,22.79022674,80.48300174,11.32759114,-8.665394458,34.02087034,901.7138116,301.8464216,125.4365641,63.64521877,109.1754582,68.24065747,-7.675058527,88.25271288,1790.637618,1453.65018,886,0.49707932,2.186744698,0.338218715,0.186020293,0.169109357,17.67130508,30.17122047,32.51633464,177.4,10
12,1502202101a.xlsx2,left,9,52.79960782,19.58201787,166.6269441,25.31609979,53.08086299,22.28310486,33.33333333,13.58307771,87.44444444,31.14526895,-36.19762479,12.64974355,79.45875248,30.29724966,-23.43320223,18.20931887,589.5809477,252.4554266,109.9120281,59.7384387,111.6961114,62.53015545,-8.007872508,11.63702138,1391.184305,859.4859226,854,0.496055742,2.517261455,0.192982456,0.350877193,0.175438596,14.3568592,19.63027523,60.48417809,171,10
13,1502202101a.xlsx2,right,9,69.90189413,29.02785828,170.5738042,15.38505089,68.67339359,29.66882713,42.22222222,19.01169231,86.66666667,33.77869151,-42.36578538,23.98417514,60.35660053,10.84859136,11.47984003,76.39989373,611.8092279,283.5221156,78.49817728,27.93119638,74.38900253,29.21547728,77.47492089,219.4937754,989.9946575,340.810311,854,0.42177346,2.24733438,0.210526316,0.350877193,0.175438596,13.38157108,18.08673335,52.69211028,171,10
14,1502202101b.xlsx,left,8,35.39744084,11.3172241,175.726606,3.435063297,33.93858365,6.689061283,32.375,10.6091268,97,21.24684851,-45.73913966,10.95579261,111.6933526,24.40032062,-17.55060171,16.101106,988.4132628,407.7689821,143.0933089,49.86433945,153.1982272,53.87082509,-19.93836951,33.16629139,1961.225229,765.2045414,818,0.582841694,2.693357762,0.164734594,0.366076876,0.183038438,18.48668596,26.39902482,55.94567138,163.9,10
15,1502202101b.xlsx,right,8,70.82211786,18.9266773,176.7648127,1.781791722,62.03701674,23.78600467,33.375,10.07028869,97.875,21.04714097,-35.38019577,5.267045473,78.69228144,14.28386489,-29.67670876,12.85608231,683.4972772,156.9412969,98.01989569,15.35955482,101.3170885,33.83643809,-60.66015948,79.93498674,1377.283709,530.4872912,818,0.486813249,2.145125562,0.164734594,0.366076876,0.183038438,14.2232334,22.30420215,43.67296533,163.9,10
16,1502202103a.xlsx,left,9,51.52205657,36.38707368,161.6181644,24.11229051,61.06057099,30.43843875,14.22222222,5.35671956,74.88888889,34.40001615,-40.45667176,28.29043128,113.9341841,68.6809332,-164.7948907,281.9814074,1152.802423,804.5782787,235.6396125,134.1198218,221.7915592,139.6604025,-267.4347642,403.6499125,4303.360423,2889.095053,658,0.756226169,2.727630805,0.227445034,0.204700531,0.181956027,24.03233876,32.36258052,35.27082933,164.875,8
17,1502202103a.xlsx,right,8,48.58382107,21.06264979,164.5235483,28.87409009,54.9403205,18.61214509,22.75,11.05505702,77.25,30.0559003,-37.30177637,15.81929417,80.23018995,36.49335649,-37.86267447,16.66723241,727.2077227,330.6414757,155.0881121,89.41850593,176.5092882,85.53823187,91.74756848,316.7276249,3140.130954,1991.407551,658,0.670217501,2.751938996,0.227445034,0.181956027,0.204700531,29.62659461,30.0684683,36.72652562,146.5555556,9
18,1502202104b.xlsx,left,10,55.69982439,17.29209839,169.3595971,20.4174258,62.97373537,28.22048944,32.6,14.50823521,86.9,42.77966807,-42.70878852,21.57253769,60.08177117,14.72602944,-88.04082167,206.7356685,510.1332579,141.0172166,119.3531884,74.45176864,130.6951063,93.88313074,-143.0063269,493.5384801,1714.206663,1588.220467,906,0.425934759,2.078287053,0.347107438,0.016528926,0.181818182,20.65541378,23.94488772,38.47440761,165,11
