,Participant,hand,rep_count,start_value_mean,start_value_std,peak_value_mean,peak_value_std,end_value_mean,end_value_std,num_frames_up_mean,num_frames_up_std,num_frames_down_mean,num_frames_down_std,vel_mean_down_mean,vel_mean_down_std,vel_sd_down_mean,vel_sd_down_std,acc_mean_down_mean,acc_mean_down_std,acc_sd_down_mean,acc_sd_down_std,vel_mean_up_mean,vel_mean_up_std,vel_sd_up_mean,vel_sd_up_std,acc_mean_up_mean,acc_mean_up_std,acc_sd_up_mean,acc_sd_up_std,freq num,magnitude mean,magnitude sd,DF3_freq,DF2_freq,DF1_freq,DF3_mag,DF2_mag,DF1_mag,CL,cycles num
0,1212202001a.xlsx,left,9,60.513978721645884,21.22857039601328,478.3999560494666,145.92641382828873,63.8059888795264,46.416482332795184,36.55555555555556,13.602491601827136,103.11111111111111,82.04791960257805,-132.26545752624259,60.131667004965415,229.64869263415656,94.20502221273092,-74.79195714613337,75.74954642731802,1887.763943464414,1051.0106834008438,360.99896477182983,205.80042806915117,308.33815835371047,160.6269048337211,8.154449320833871,71.82237233250244,2951.0327566627525,2057.2661355229543,865.0,1.7054388101796294,9.556747610532106,0.03464203233256351,0.19053117782909929,0.17321016166281755,88.5787546911835,110.01417609373127,179.27060223601498,173.2,10.0
1,1212202001a.xlsx,right,9,36.047778715937376,31.763140145708636,459.5066717320763,129.52780900304853,29.609517458166764,33.01401923843259,26.0,10.295630140986999,84.77777777777777,58.6446454882664,-160.04192578559392,79.66400991461886,307.9833862606298,133.71115997311017,-173.2053391976588,119.809786916706,2488.759176064256,1185.5998907640565,469.42312270040253,205.2188189822892,343.59452174396233,155.1416095506006,-171.96673902628794,381.7560210242441,3724.1126242347914,1531.4238820372195,865.0,1.8590206020436835,9.333687236706002,0.03464203233256351,0.19053117782909929,0.17321016166281755,86.71506683904994,102.08326823012494,167.72685477917094,173.2,10.0
2,1312202001a.xlsx,left,10,34.83349817719298,42.01567890870789,477.8784154043533,161.0133021696671,28.62994155958261,48.684359644582536,26.5,8.168367169895232,85.1,36.019901906214756,-164.77907340204408,105.2680643713745,272.47927472183454,110.02399546414442,-87.59285218362177,135.2881617330479,1649.8053800163914,776.8084961103026,491.864182319619,210.34380516340008,356.09345305715823,160.32550779778046,-60.33637343854817,250.78330339218272,3309.717040148947,1684.0857028087119,915.0,1.8545874829882847,10.353456648402753,0.03275109170305677,0.16375545851528384,0.18013100436681223,105.88652493385257,128.15427502486483,189.38539221877235,166.54545454545453,11.0
3,1312202001a.xlsx,right,9,25.226724521097022,33.575715610493305,524.215836404521,14.805349508916256,31.969588876545245,41.56007773250159,24.666666666666668,3.5707142142714248,76.55555555555556,18.514258769331754,-209.86391944939595,95.18699219278349,361.49018563038635,56.85181130436694,-231.36135730185808,202.34685709482156,2115.350354962836,398.7107286119928,616.3975609002143,92.28456247762321,407.51668298507934,86.89382596150563,-209.27206240833542,125.81754292725581,4485.374010084084,1315.3683049437282,915.0,1.770379572079153,9.9122731081168,0.16375545851528384,0.03275109170305677,0.18013100436681223,92.8576744012456,104.3595078327878,207.95131324386406,166.54545454545453,11.0
4,1312202001a.xlsx2,left,9,8.651284974112638,13.988189909815933,473.5395063596267,170.96180813922027,8.411970697833167,7.572417946259075,29.444444444444443,5.4108943602493085,88.44444444444444,45.72502354048358,-152.95622952001304,69.25126695458833,268.4414249036994,105.51472585415685,-89.7083051282719,49.5643162277225,1662.7482492118497,781.7911505886669,482.2146020057496,193.31150399901236,350.16610196923426,146.21943771106245,-21.832903182438493,119.25389371007974,3689.212883395539,1508.7132296921677,903.0,2.0125796194509467,10.978189126100814,0.06633499170812604,0.1658374792703151,0.1824212271973466,82.5480290503738,134.79316344969368,223.09773569677532,164.45454545454544,11.000000000000002
5,1312202001a.xlsx2,right,8,20.560849075454996,15.260258078515566,526.0010101590937,8.50481612807,9.764054349754787,3.736788914847025,26.25,4.131758532565592,96.75,38.839412971876904,-171.69779479851297,39.06455576969725,336.21357992013174,42.97121293006258,-171.1037036914862,44.266375466118554,1966.2900669170072,414.4182616394898,585.8276066468972,71.62129404552469,396.4916881731089,50.204842394764235,-238.68953253846124,233.57375002929274,4519.2808295053765,498.0374937012572,903.0,2.055295231862404,10.62514121165161,0.06633499170812604,0.1658374792703151,0.1824212271973466,74.38478333481746,125.39149937474168,215.35058593802304,164.45454545454544,11.000000000000002
6,1312202001b.xlsx,left,10,33.47162535536143,37.8864656525613,513.9645505262795,57.63667950626539,7.7925781082228465,4.397599754619725,28.5,7.706418681131261,59.4,23.377101806872663,-304.2828361645537,174.08169515152224,333.8698753591543,47.84472075627779,-238.73014968609095,323.1632371369513,2624.1271106381405,1118.1043998411596,523.1989932049235,115.94261706862773,329.2126522971945,65.35458128750538,-129.32583406209002,258.89694466362135,3629.2654119291024,1000.8674014250814,848.0,1.957060457764275,9.98440629019868,0.0176678445229682,0.19434628975265017,0.17667844522968199,105.94741630785289,135.9506512790207,151.67939022390658,169.79999999999998,10.000000000000002
7,1312202001b.xlsx,right,11,32.66529478584371,30.23643067083645,469.72480689611706,147.92318431349497,26.89981649286665,45.66312281270268,26.818181818181817,10.666003767280245,47.45454545454545,26.699676538728472,-315.00162573062676,150.728715948507,379.22401913562754,138.31247392737458,-451.48316423036016,237.6272631660927,3826.47594681468,3970.8887940363506,559.9391495797416,212.5688686422921,323.9224026145678,129.31297716354177,-144.10724824647525,516.8124169054718,4166.271660260092,1703.3624713158083,848.0,2.0032976125448045,9.338536325615364,0.0176678445229682,0.19434628975265017,0.17667844522968199,112.26804101553842,122.92847108177911,135.63453091710875,169.79999999999998,10.000000000000002
8,1312202001b.xlsx2,left,9,19.141498758754192,29.386334507740536,533.010443828694,9.224648795761992,13.555026983123316,25.55674829404119,31.666666666666668,8.916277250063505,60.22222222222222,22.71991294975499,-288.7760726730789,97.1510306379817,422.3389300759693,208.47729303736574,-138.30007795933832,130.03421763397475,5933.958999722197,7926.538813382221,510.6316537610085,102.68508127705928,357.5896654957571,40.05817706693569,-36.91398821158866,117.6591849814757,3156.1439772713807,751.2892576081155,748.0,2.5411095061201414,10.819066960486186,0.020026702269692925,0.20026702269692925,0.1802403204272363,84.70428491061533,151.36050883292802,152.06096645080854,166.44444444444446,9.0
9,1312202001b.xlsx2,right,9,27.794835340030634,45.39558406521595,529.4510150333452,9.747677295248492,15.22123355614711,14.455112824729625,30.77777777777778,9.134793070696482,58.111111111111114,22.0309126254704,-301.3087114621486,122.45962473903286,403.3449823136573,86.42587568428289,-294.2470522242363,185.8023977254107,3874.0290738835442,3116.7903860561864,519.5155090294052,125.63824579932182,368.4394057551126,34.78886834114043,-60.53556352430979,219.55553385935565,3665.024113278232,456.0754212373997,748.0,2.4632399874069915,10.435677977229433,0.020026702269692925,0.1802403204272363,0.20026702269692925,72.53495571698247,143.71581738186072,149.2192477042681,149.79999999999998,10.000000000000002
10,1502202101a.xlsx,left,13,64.80393225514716,91.4874372974194,529.2877032406755,11.568567923682302,55.45747731954133,78.38914334289261,35.15384615384615,13.40302300382364,78.92307692307692,32.83408173037466,-208.5919658964819,88.48056515029829,286.90228949201924,128.5718728895271,-123.59386411173881,151.763375269072,3437.8082907263934,4287.852220552993,433.99783057012115,151.47539308177232,270.59199600945317,120.07904536965422,165.24666520501088,556.5058958185541,3585.741953479566,1973.3744646803852,886.0,1.8717680010503435,9.072171043532457,0.30439684329199546,0.16910935738444194,0.18602029312288612,101.48311490560621,118.9798943082888,128.74496483176986,161.27272727272728,11.0
11,1502202101a.xlsx,right,13,60.09358401996196,74.22358982822594,522.4857688832151,12.979417887356789,64.67622941724808,79.05154583892534,32.46153846153846,11.318240327125242,73.61538461538461,33.437848967745275,-214.3098975839898,79.2010712932752,276.9761109609228,59.56249327601052,-177.47471679934117,189.7313817343233,2406.315399711899,1250.2997878615777,463.4437238361405,150.21504444324154,253.290243781517,101.80214547346658,97.69811369658139,237.4374844456338,3926.680126114134,1643.5324275738471,886.0,1.870782223771176,9.354937612145205,0.30439684329199546,0.16910935738444194,0.18602029312288612,94.04739557410593,122.9986397395468,139.83961746652443,161.27272727272728,11.0
12,1502202101a.xlsx2,left,9,27.98945517597138,31.065143555306133,521.5209478995953,6.130280251566808,16.22168900973667,18.646489706195105,44.333333333333336,11.10180165558726,96.11111111111111,15.325178991160628,-161.71951967197901,34.34169585840154,238.620501653811,28.267067595989314,-65.54556897642038,42.95915494801362,1903.850730890615,956.8732758872465,348.43682726137394,69.79768479775726,211.307664615462,55.028559031895284,-3.490441279114256,60.19266506077185,2668.623023543934,579.3401155749549,854.0,1.5011821115519315,9.91250564977314,0.19298245614035087,0.3508771929824561,0.17543859649122806,61.32956061299747,65.21173574808398,237.74742116341244,171.0,10.0
13,1502202101a.xlsx2,right,9,8.152472151019346,5.033948983705864,518.1050493160865,16.509030815045655,7.91945289135885,5.275896163229633,40.111111111111114,6.233868069755016,82.66666666666667,12.459935794377115,-187.98056401301065,33.37513675596454,281.5925551068693,29.709967279277233,-107.36784981686876,46.12024213066712,1790.8994162573833,584.6216748785525,387.70631922547625,54.79223167038046,239.78454801565073,66.81222338239847,-17.59791961204251,154.46166292305375,2791.6004127280016,1170.937004517155,854.0,1.5985367868406573,9.82991575290383,0.19298245614035087,0.017543859649122806,0.17543859649122806,62.63759989352877,66.08528348403694,234.3757048573225,171.0,10.0
14,1502202101b.xlsx,left,8,73.65550615940893,50.770381550793594,539.165520634393,7.1710051566010256,33.30874886160492,35.42016046185884,41.625,12.328103781893745,106.75,39.00091574016473,-152.7340039028557,36.05453947914633,255.69298032506222,35.523453379763275,-33.637306804845615,55.88902637319049,2653.3675320387642,692.4695417879901,352.43021055715735,72.44956503211023,218.67463280010023,27.706743237152867,57.36478631267761,33.41671293300735,2555.722268464165,676.4809424480818,818.0,1.8278728810033784,10.01210148203897,0.07321537522879805,0.16473459426479561,0.18303843807199513,59.54836517572572,89.84983113065455,217.92110696978514,163.89999999999998,10.000000000000002
15,1502202101b.xlsx,right,11,73.92612178727978,103.66306884042712,535.5847015793115,42.71389759315839,73.85209910846108,104.88780084048975,33.72727272727273,16.65587529426724,62.54545454545455,29.7131743048892,-247.39226498723073,82.5914555144726,390.1441298737736,298.86223340946685,-943.7772777193259,2830.3806931601885,5905.219153823305,7939.570442157243,603.1192286764858,668.4882936919295,423.4187477839321,566.0356912519117,3600.5779223674167,11776.30405344601,9039.116642934525,19391.94519873896,818.0,2.1781433801196637,10.651600265947227,0.09151921903599756,0.16473459426479561,0.18303843807199513,61.25488006027955,93.81918517388262,234.13630510026746,163.89999999999998,10.000000000000002
